Puzzle,Response
4 4 8 11,4 * 4 = 16 (left: 8 11 16)\n11 - 8 = 3 (left: 3 16)\n16 + 3 = 19 (left: 19)\n4 * 4 = 16 (left: 8 11 16)\n16 - 11 = 5 (left: 5 8)\n5 * 8 = 40 (left: 40)\n11 - 4 = 7 (left: 4 8 7)\n8 - 4 = 4 (left: 4 7)\n7 * 4 = 28 (left: 28)\n4 * 8 = 32 (left: 4 11 32)\n32 - 11 = 21 (left: 4 21)\n21 - 4 = 17 (left: 17)\n4 + 4 = 8 (left: 8 11 8)\n11 - 8 = 3 (left: 3 8)\n8 * 3 = 24 (left: 24)\nAnswer: (4 + 4) * (11 - 8) = 24
6 8 10 13,13 - 10 = 3 (left: 3 6 8)\n6 * 3 = 18 (left: 8 18)\n18 + 8 = 26 (left: 26)\n8 - 6 = 2 (left: 2 10 13)\n13 - 10 = 3 (left: 2 3)\n8 * 6 = 48 (left: 48 10 13)\n48 - 13 = 35 (left: 35 10)\n6 + 8 = 14 (left: 10 13 14)\n14 - 10 = 4 (left: 4 13)\n10 - 6 = 4 (left: 4 8 13)\n13 - 8 = 5 (left: 4 5)\n4 * 5 = 20 (left: 20)\n13 - 10 = 3 (left: 3 6 8)\n6 + 3 = 9 (left: 8 9)\n8 + 9 = 17 (left: 17)\n13 - 6 = 7 (left: 7 8 10)\n10 - 7 = 3 (left: 3 8)\n8 * 3 = 24 (left: 24)\nAnswer: (8 * (10 - (13 - 6))) = 24
1 2 2 7,2 + 2 = 4 (left: 1 4 7)\n7 - 1 = 6 (left: 4 6)\n6 * 4 = 24 (left: 24)\nAnswer: (7 - 1) * (2 + 2) = 24
3 7 7 13,13 - 7 = 6 (left: 3 7 6)\n7 - 3 = 4 (left: 4 6)\n6 * 4 = 24 (left: 24)\nAnswer: (13 - 7) * (7 - 3) = 24
4 5 9 13,13 - 9 = 4 (left: 4 4 5)\n4 + 4 = 8 (left: 5 8)\n5 * 8 = 40 (left: 40)\nAnswer: ((13 - 9) + (4 * 5)) = 24
6 8 9 13,6 + 8 = 14 (left: 9 13 14)\n13 - 9 = 4 (left: 4 14)\n4 * 14 = 56 (left: 56)\n13 - 6 = 7 (left: 8 9 7)\n9 - 7 = 2 (left: 8 2)\n8 * 2 = 16 (left: 16)\n9 + 13 = 22 (left: 6 8 22)\n22 - 8 = 14 (left: 6 14)\n9 + 6 = 15 (left: 8 13 15)\n15 - 13 = 2 (left: 8 2)\n8 * 2 = 16 (left: 16)\n8 + 6 = 14 (left: 9 13 14)\n14 - 13 = 1 (left: 9 1)\n9 + 6 = 15 (left: 8 13 15)\n15 - 13 = 2 (left: 8 2)\n8 * 2 = 16 (left: 16)\n13 + 6 = 19 (left: 8 9 19)\n19 - 9 = 10 (left: 8 10)\n8 + 9 = 17 (left: 6 13 17)\n17 - 13 = 4 (left: 6 4)\n6 * 4 = 24 (left: 24)\nAnswer: (8 + 9 - 13) * 6 = 24
4 8 9 11,4 + 8 = 12 (left: 9 11 12)\n11 - 9 = 2 (left: 2 12)\n2 * 12 = 24 (left: 24)\nAnswer: (11 - 9) * (4 + 8) = 24
6 6 8 10,6 + 6 = 12 (left: 8 10 12)\n10 - 8 = 2 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: (6 + 6) * (10 - 8) = 24
1 2 6 11,1 + 2 = 3 (left: 3 6 11)\n3 + 6 = 9 (left: 9 11)\n11 + 9 = 20 (left: 20)\n1 + 11 = 12 (left: 2 6 12)\n6 * 2 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer:  ((1 + 11) + (6 * 2)) = 24
3 5 9 12,12 - 9 = 3 (left: 3 3 5)\n3 + 5 = 8 (left: 3 8)\n8 * 3 = 24 (left: 24)\nAnswer: (12 - 9 + 5) * 3 = 24
3 6 12 13,3 + 13 = 16 (left: 6 12 16)\n16 - 12 = 4 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (3 + 13 - 12) * 6 = 24
6 8 11 13,13 - 11 = 2 (left: 2 6 8)\n6 / 2 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer:  (6 / (13 - 11)) * 8 = 24
2 5 8 9,2 + 8 = 10 (left: 5 9 10)\n5 + 9 = 14 (left: 10 14)\n14 + 10 = 24 (left: 24)\nAnswer: ((2 + 8) + (5 + 9)) = 24
8 8 8 13,13 - 8 = 5 (left: 5 8 8)\n8 - 5 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (8 - (13 - 8)) * 8 = 24
2 3 8 12,12 - 8 = 4 (left: 2 3 4)\n3 * 4 = 12 (left: 2 12)\n2 * 12 = 24 (left: 24)\nAnswer: (2 * (3 * (12 - 8))) = 24
3 8 8 11,8 - 3 = 5 (left: 5 8 11)\n8 + 5 = 13 (left: 11 13)\n13 + 11 = 24 (left: 24)\nAnswer: ((8 - 3) + 8) + 11 = 24
4 9 9 10,9 - 4 = 5 (left: 5 9 10)\n9 + 5 = 14 (left: 10 14)\n14 + 10 = 24 (left: 24)\nAnswer: (9 - 4) + (9 + 10) = 24
3 3 3 5,3 * 3 = 9 (left: 3 5 9)\n3 * 5 = 15 (left: 9 15)\n15 + 9 = 24 (left: 24)\nAnswer: (3 * 5) + (3 * 3) = 24
3 3 6 10,10 - 6 = 4 (left: 3 3 4)\n3 + 3 = 6 (left: 4 6)\n6 * 4 = 24 (left: 24)\nAnswer:  (3 + 3) * (10 - 6) = 24
3 4 8 11,11 - 8 = 3 (left: 3 3 4)\n3 + 3 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (4 * (3 + (11 - 8))) = 24
5 5 5 9,5 + 5 = 10 (left: 5 9 10)\n10 + 5 = 15 (left: 9 15)\n15 + 9 = 24 (left: 24)\nAnswer:  ((5 + 5) + 5) + 9 = 24
3 4 6 11,3 + 4 = 7 (left: 6 7 11)\n11 - 7 = 4 (left: 4 6)\n6 * 4 = 24 (left: 24)\nAnswer: (6 * (11 - (3 + 4))) = 24
6 7 8 11,11 - 7 = 4 (left: 6 8 4)\n8 - 4 = 4 (left: 6 4)\n6 * 4 = 24 (left: 24)\nAnswer: (6 * (8 - (11 - 7))) = 24
2 3 6 6,6 / 3 = 2 (left: 2 6 2)\n6 * 2 = 12 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: (6 / 3) * (6 * 2) = 24
1 2 6 10,1 + 2 = 3 (left: 3 6 10)\n3 * 6 = 18 (left: 10 18)\n10 + 18 = 28 (left: 28)\n1 + 10 = 11 (left: 2 6 11)\n11 - 2 = 9 (left: 6 9)\n6 * 9 = 54 (left: 54)\n6 + 10 = 16 (left: 1 2 16)\n2 - 1 = 1 (left: 1 16)\n1 * 16 = 16 (left: 16)\n10 - 6 = 4 (left: 1 2 4)\n1 * 2 = 2 (left: 2 4)\n2 * 6 = 12 (left: 1 10 12)\n10 + 1 = 11 (left: 11 12)\n6 * 1 = 6 (left: 2 10 6)\n10 + 2 = 12 (left: 12 6)\n12 * 6 = 72 (left: 72)\n1 + 2 = 3 (left: 3 6 10)\n6 * 3 = 18 (left: 10 18)\n2 * 10 = 20 (left: 1 6 20)\n20 - 1 = 19 (left: 6 19)\n19 - 6 = 13 (left: 13)\n10 - 2 = 8 (left: 1 6 8)\n6 * 1 = 6 (left: 6 8)\n1 + 6 = 7 (left: 2 10 7)\n7 * 2 = 14 (left: 10 14)\n6 * 10 = 60 (left: 1 2 60)\n60 - 2 = 58 (left: 1 58)\n58 - 1 = 57 (left: 57)\n10 + 1 = 11 (left: 2 6 11)\n11 + 2 = 13 (left: 6 13)\n13 + 6 = 19 (left: 19)\n10 - 1 = 9 (left: 2 6 9)\n9 + 6 = 15 (left: 2 15)\n15 + 2 = 17 (left: 17)\n6 / 2 = 3 (left: 1 3 10)\n10 - 3 = 7 (left: 1 7)\n10 / 2 = 5 (left: 1 6 5)\n5 - 1 = 4 (left: 6 4)\n6 * 4 = 24 (left: 24)\nAnswer: (10 / 2 - 1) * 6 = 24
7 7 8 11,7 + 8 = 15 (left: 7 11 15)\n15 - 7 = 8 (left: 8 11)\n8 * 11 = 88 (left: 88)\n7 + 7 = 14 (left: 8 11 14)\n14 - 8 = 6 (left: 6 11)\n6 * 11 = 66 (left: 66)\n7 + 7 = 14 (left: 8 11 14)\n14 - 11 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (7 + 7 - 11) * 8 = 24
3 3 9 12,3 + 9 = 12 (left: 3 12 12)\n12 - 3 = 9 (left: 9 12)\n9 + 12 = 21 (left: 21)\n3 * 9 = 27 (left: 3 12 27)\n27 - 12 = 15 (left: 3 15)\n15 - 3 = 12 (left: 12)\n12 / 3 = 4 (left: 3 4 9)\n9 - 3 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (12 / 3) * (9 - 3) = 24
2 4 9 12,12 - 9 = 3 (left: 2 4 3)\n4 * 3 = 12 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: ((12 - 9) * 4) * 2 = 24
4 9 10 13,13 - 10 = 3 (left: 3 4 9)\n9 - 3 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: 4 * (9 - (13 - 10)) = 24
1 4 7 7,1 + 7 = 8 (left: 4 7 8)\n7 - 4 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (7 - 4) * (1 + 7) = 24
3 5 7 9,3 + 9 = 12 (left: 5 7 12)\n7 - 5 = 2 (left: 2 12)\n2 * 12 = 24 (left: 24)\nAnswer: ((7 - 5) * (3 + 9)) = 24
6 8 9 12,12 - 8 = 4 (left: 4 6 9)\n6 - 4 = 2 (left: 2 9)\n9 * 2 = 18 (left: 18)\n12 - 6 = 6 (left: 6 8 9)\n9 - 6 = 3 (left: 3 8)\n8 * 3 = 24 (left: 24)\nAnswer: (8 * (9 - (12 - 6))) = 24
2 4 4 5,4 + 4 = 8 (left: 2 5 8)\n5 - 2 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (5 - 2) * (4 + 4) = 24
4 4 6 10,4 + 6 = 10 (left: 4 10 10)\n10 + 4 = 14 (left: 10 14)\n14 + 10 = 24 (left: 24)\nAnswer: ((4 + 6) + 4) + 10 = 24
3 3 9 13,13 - 9 = 4 (left: 3 3 4)\n3 + 3 = 6 (left: 6 4)\n6 * 4 = 24 (left: 24)\nAnswer: (13 - 9) * (3 + 3) = 24
4 4 6 8,4 + 8 = 12 (left: 4 6 12)\n6 - 4 = 2 (left: 2 12)\n2 * 12 = 24 (left: 24)\nAnswer: ((6 - 4) * (4 + 8)) = 24
2 4 9 10,10 - 4 = 6 (left: 2 6 9)\n2 * 9 = 18 (left: 6 18)\n18 + 6 = 24 (left: 24)\nAnswer: (2 * 9) + (10 - 4) = 24
3 3 8 10,3 + 3 = 6 (left: 6 8 10)\n8 * 3 = 18 (left: 6 18)\n18 - 6 = 12 (left: 12 10)\n12 + 10 = 22 (left: 22)\n3 + 3 = 6 (left: 6 8 10)\n6 + 10 = 16 (left: 8 16)\n3 + 3 = 6 (left: 6 8 10)\n10 - 6 = 4 (left: 4 8)\n8 * 4 = 32 (left: 32)\n3 + 3 = 6 (left: 6 8 10)\n8 - 6 = 2 (left: 2 10)\n2 * 10 = 20 (left: 20)\n3 + 3 = 6 (left: 6 8 10)\n10 - 8 = 2 (left: 2 6)\n2 * 6 = 12 (left: 12)\n3 + 8 = 11 (left: 3 10 11)\n10 + 3 = 13 (left: 11 13)\n11 + 13 = 24 (left: 24)\nAnswer: (3 + 8) + (10 + 3) = 24
4 7 8 11,7 + 11 = 18 (left: 4 8 18)\n18 - 8 = 10 (left: 4 10)\n4 * 10 = 40 (left: 40)\n7 + 11 = 18 (left: 4 8 18)\n18 - 4 = 14 (left: 8 14)\n8 - 8 = 0 (left: 14 0)\n7 + 11 = 18 (left: 4 8 18)\n18 - 8 = 10 (left: 4 10)\n4 + 10 = 14 (left: 14)\n11 - 7 = 4 (left: 4 8 4)\n4 * 4 = 16 (left: 8 16)\n16 + 8 = 24 (left: 24)\nAnswer: (11 - 7) * 4 + 8 = 24
4 9 9 12,12 - 9 = 3 (left: 4 9 3)\n9 - 3 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: 4 * (9 - (12 - 9)) = 24
4 5 7 10,7 - 5 = 2 (left: 2 4 10)\n2 * 10 = 20 (left: 4 20)\n20 + 4 = 24 (left: 24)\nAnswer: ((7 - 5) * 10) + 4 = 24
2 6 9 9,9 + 9 = 18 (left: 2 6 18)\n18 - 6 = 12 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: (2 * (9 + 9 - 6)) = 24
